CH1,CH2,CH3,CH4,CH5
513.0,503.0,513.0,517.0,520.0
515.0,499.0,512.0,513.0,518.0
511.0,498.0,512.0,514.0,520.0
514.0,501.0,513.0,510.0,517.0
512.0,505.0,511.0,510.0,516.0
516.0,510.0,515.0,511.0,514.0
519.0,510.0,514.0,509.0,510.0
522.0,516.0,512.0,510.0,509.0
518.0,511.0,505.0,503.0,509.0
504.0,504.0,497.0,501.0,511.0
501.0,499.0,493.0,498.0,517.0
503.0,500.0,491.0,494.0,517.0
499.0,496.0,495.0,499.0,522.0
504.0,498.0,501.0,505.0,520.0
512.0,502.0,509.0,514.0,518.0
515.0,497.0,514.0,516.0,517.0
515.0,503.0,517.0,521.0,517.0
515.0,502.0,517.0,523.0,522.0
514.0,501.0,518.0,519.0,520.0
521.0,503.0,515.0,517.0,522.0
516.0,505.0,514.0,514.0,518.0
521.0,503.0,512.0,507.0,514.0
523.0,509.0,516.0,514.0,508.0
526.0,514.0,515.0,514.0,511.0
522.0,516.0,512.0,509.0,508.0
517.0,507.0,505.0,504.0,509.0
509.0,509.0,499.0,499.0,512.0
506.0,503.0,498.0,502.0,514.0
500.0,497.0,493.0,498.0,516.0
503.0,500.0,498.0,503.0,520.0
507.0,502.0,503.0,508.0,520.0
512.0,507.0,512.0,516.0,521.0
515.0,502.0,515.0,522.0,517.0
518.0,503.0,518.0,521.0,516.0
514.0,501.0,516.0,515.0,519.0
513.0,501.0,515.0,517.0,524.0
516.0,505.0,515.0,516.0,518.0
516.0,509.0,514.0,514.0,516.0
517.0,506.0,514.0,513.0,513.0
521.0,509.0,514.0,512.0,504.0
525.0,517.0,513.0,512.0,505.0
525.0,516.0,511.0,509.0,506.0
515.0,510.0,505.0,507.0,508.0
511.0,504.0,500.0,498.0,513.0
503.0,498.0,492.0,495.0,521.0
501.0,497.0,494.0,499.0,522.0
506.0,498.0,500.0,504.0,518.0
509.0,505.0,508.0,514.0,521.0
513.0,502.0,511.0,516.0,517.0
516.0,501.0,516.0,520.0,517.0
516.0,504.0,517.0,526.0,519.0
517.0,502.0,517.0,517.0,520.0
516.0,501.0,516.0,516.0,521.0
511.0,502.0,513.0,514.0,521.0
520.0,507.0,518.0,512.0,517.0
519.0,508.0,514.0,513.0,510.0
524.0,514.0,517.0,514.0,509.0
523.0,518.0,512.0,511.0,506.0
519.0,513.0,505.0,503.0,511.0
511.0,506.0,500.0,500.0,517.0
509.0,502.0,498.0,496.0,514.0
503.0,499.0,493.0,495.0,518.0
503.0,499.0,493.0,494.0,520.0
501.0,498.0,499.0,504.0,521.0
504.0,498.0,505.0,510.0,520.0
509.0,499.0,506.0,515.0,519.0
518.0,503.0,517.0,521.0,521.0
518.0,502.0,515.0,520.0,519.0
515.0,501.0,512.0,513.0,525.0
510.0,500.0,513.0,513.0,522.0
514.0,501.0,514.0,510.0,521.0
522.0,506.0,513.0,511.0,514.0
526.0,511.0,515.0,513.0,510.0
519.0,512.0,512.0,510.0,513.0
519.0,513.0,508.0,505.0,504.0
515.0,509.0,503.0,502.0,506.0
511.0,507.0,501.0,502.0,512.0
509.0,503.0,495.0,497.0,513.0
502.0,499.0,495.0,496.0,522.0
503.0,498.0,495.0,500.0,521.0
507.0,500.0,504.0,508.0,518.0
512.0,502.0,511.0,515.0,518.0
519.0,503.0,515.0,519.0,519.0
518.0,502.0,518.0,515.0,518.0
516.0,502.0,515.0,518.0,519.0
513.0,502.0,516.0,524.0,520.0
519.0,503.0,519.0,519.0,516.0
523.0,507.0,518.0,514.0,517.0
520.0,508.0,512.0,508.0,518.0
527.0,512.0,520.0,514.0,508.0
528.0,513.0,515.0,517.0,506.0
527.0,515.0,511.0,509.0,512.0
507.0,512.0,504.0,505.0,514.0
504.0,505.0,499.0,496.0,514.0
501.0,504.0,495.0,495.0,521.0
502.0,498.0,493.0,499.0,519.0
503.0,499.0,500.0,503.0,521.0
505.0,500.0,507.0,515.0,523.0
511.0,502.0,513.0,517.0,519.0
515.0,502.0,517.0,520.0,519.0
514.0,502.0,517.0,518.0,521.0
521.0,503.0,516.0,518.0,518.0
512.0,502.0,514.0,514.0,520.0
515.0,503.0,514.0,513.0,521.0
519.0,508.0,516.0,516.0,517.0
520.0,510.0,514.0,510.0,513.0
525.0,513.0,514.0,510.0,515.0
523.0,516.0,513.0,508.0,508.0
522.0,511.0,508.0,503.0,505.0
517.0,509.0,503.0,500.0,514.0
507.0,504.0,497.0,497.0,516.0
504.0,501.0,493.0,491.0,519.0
499.0,497.0,494.0,499.0,525.0
509.0,500.0,505.0,506.0,518.0
511.0,503.0,514.0,515.0,521.0
516.0,502.0,512.0,518.0,520.0
519.0,504.0,520.0,521.0,518.0
521.0,502.0,518.0,520.0,517.0
516.0,505.0,513.0,515.0,522.0
513.0,503.0,513.0,514.0,521.0
516.0,507.0,512.0,514.0,518.0
519.0,501.0,512.0,511.0,518.0
525.0,512.0,514.0,511.0,512.0
524.0,513.0,511.0,510.0,509.0
521.0,517.0,511.0,508.0,512.0
518.0,507.0,503.0,502.0,511.0
515.0,508.0,503.0,499.0,513.0
504.0,504.0,494.0,498.0,519.0
502.0,498.0,491.0,496.0,520.0
502.0,495.0,495.0,499.0,523.0
506.0,498.0,503.0,507.0,524.0
512.0,502.0,510.0,515.0,521.0
518.0,506.0,515.0,520.0,520.0
520.0,507.0,518.0,527.0,517.0
514.0,505.0,513.0,511.0,523.0
509.0,500.0,512.0,513.0,527.0
519.0,504.0,511.0,512.0,522.0
517.0,506.0,513.0,512.0,519.0
518.0,507.0,513.0,511.0,517.0
517.0,511.0,512.0,509.0,514.0
523.0,513.0,511.0,510.0,508.0
522.0,512.0,504.0,505.0,508.0
515.0,509.0,502.0,503.0,512.0
509.0,509.0,497.0,498.0,515.0
504.0,501.0,493.0,497.0,519.0
505.0,498.0,494.0,498.0,518.0
506.0,498.0,500.0,506.0,519.0
510.0,502.0,512.0,513.0,520.0
